iteration,mean_reward,policy_loss,value_loss,entropy,seconds
0,-0.03334044368600668,0.011407863348722458,1.7681480646133423,4.256815433502197,2.6049845218658447
1,-0.012219101123595397,0.07870756834745407,1.7449696063995361,4.257115840911865,2.598912239074707
2,-0.03489583333333319,-0.04821742698550224,1.6831166744232178,4.257552623748779,2.533781051635742
3,-0.03511212624584704,0.06913647055625916,1.600382924079895,4.2576680183410645,2.648064374923706
4,-0.0251676245210727,-0.013895474374294281,1.6308283805847168,4.258012294769287,2.521193742752075
5,-0.023706054687499895,-0.011399693787097931,1.598370909690857,4.258253574371338,2.4622814655303955
6,-0.021085858585858444,0.0932832881808281,1.684451699256897,4.258420944213867,2.6977972984313965
7,-0.0019351464435145294,0.042026348412036896,2.0229978561401367,4.258769512176514,2.4155948162078857
8,-0.029405120481927602,-0.0580565482378006,1.1561875343322754,4.259151458740234,2.7208166122436523
9,-0.015388086642599193,0.027975790202617645,1.5463906526565552,4.259393692016602,3.135829210281372
10,-0.04117093373493962,0.019818037748336792,1.0993491411209106,4.2596211433410645,2.945249080657959
11,-0.012871747211895823,0.003480706363916397,1.2572243213653564,4.259881973266602,2.8992536067962646
12,-0.017473591549295685,-0.011889345943927765,1.2167428731918335,4.2601165771484375,2.565263032913208
13,-0.01319444444444434,0.09783581644296646,1.3908321857452393,4.2602996826171875,2.509087324142456
14,-0.010641339869280975,-0.18026168644428253,1.7767921686172485,4.260534286499023,2.6927239894866943
15,-0.00571120689655163,0.011321336030960083,1.58418607711792,4.26056432723999,2.6195781230926514
16,0.002411048689138733,-0.08855892717838287,1.7466835975646973,4.260636806488037,2.5070571899414062
17,-0.0023437499999997948,-0.1482858955860138,1.2482138872146606,4.2606201171875,2.6219406127929688
18,0.016604477611940574,0.09607736766338348,2.2194902896881104,4.260490417480469,2.5134010314941406
19,0.022923951048951355,0.10401425510644913,1.9391343593597412,4.260524272918701,2.656923770904541
20,0.010035211267605962,-0.11144603788852692,1.3131496906280518,4.260646820068359,2.6174449920654297
21,0.005574324324324614,0.012602511793375015,1.0818235874176025,4.260672092437744,2.573493242263794
22,-0.007309322033898201,0.0372406467795372,1.0058519840240479,4.260730743408203,2.6700057983398438
23,0.0013148414985591412,0.08127818256616592,0.9633104801177979,4.260822772979736,2.657017707824707
